epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2272,1.34034,3.50106,1.41469,0.08299,0.17634,0.06575,0.03433,1.62356,4.82294,1.51438,0.000255316,0.000255316,0.000255316
2,64.627,1.43433,2.59796,1.46205,0.35577,0.30094,0.16864,0.09821,1.60891,2.6602,1.48208,0.000501519,0.000501519,0.000501519
3,95.5367,1.40178,2.40909,1.43507,0.24048,0.32161,0.20669,0.12432,1.63261,2.63129,1.46759,0.000737571,0.000737571,0.000737571
4,125.055,1.35874,2.31644,1.40132,0.48063,0.2366,0.20713,0.13008,1.56966,2.69722,1.40682,0.000723321,0.000723321,0.000723321
5,155.475,1.32205,2.269,1.37121,0.21946,0.28784,0.17582,0.11057,1.5557,2.55009,1.4291,0.000708095,0.000708095,0.000708095
6,186.4,1.30654,2.18419,1.3632,0.28399,0.35504,0.29542,0.19138,1.51923,2.33274,1.34302,0.000692869,0.000692869,0.000692869
7,216.58,1.2962,2.12821,1.34879,0.39039,0.25636,0.27494,0.18313,1.52922,2.34905,1.38555,0.000677643,0.000677643,0.000677643
8,245.057,1.27202,2.09188,1.33436,0.33794,0.35746,0.30121,0.19838,1.46134,2.30534,1.31093,0.000662417,0.000662417,0.000662417
9,273.905,1.24889,2.04381,1.32277,0.411,0.36377,0.33609,0.22896,1.47472,2.2624,1.34853,0.00064719,0.00064719,0.00064719
10,302.541,1.23638,2.00145,1.32087,0.39674,0.31749,0.31667,0.21567,1.45232,2.12071,1.32396,0.000631964,0.000631964,0.000631964
11,331.268,1.23504,1.97887,1.31844,0.47483,0.37485,0.35446,0.24502,1.43476,2.18117,1.30324,0.000616738,0.000616738,0.000616738
12,359.897,1.20101,1.93104,1.29573,0.42637,0.39825,0.371,0.23789,1.5068,2.22615,1.36363,0.000601512,0.000601512,0.000601512
13,388.416,1.19452,1.89998,1.28763,0.46119,0.40325,0.38467,0.26038,1.44356,2.01578,1.31848,0.000586286,0.000586286,0.000586286
14,418.794,1.19072,1.87668,1.28331,0.45051,0.35902,0.3724,0.25311,1.42383,2.12302,1.28722,0.000571059,0.000571059,0.000571059
15,449.077,1.17141,1.8381,1.28923,0.45483,0.38926,0.38042,0.24535,1.45837,2.09116,1.32725,0.000555833,0.000555833,0.000555833
16,479.063,1.16143,1.80938,1.27998,0.39801,0.36397,0.36667,0.24859,1.39604,2.03112,1.28025,0.000540607,0.000540607,0.000540607
17,508.751,1.16203,1.77319,1.26959,0.37777,0.40856,0.37571,0.26076,1.38186,2.0818,1.29144,0.000525381,0.000525381,0.000525381
18,536.382,1.15241,1.74541,1.26542,0.46016,0.39242,0.37515,0.25827,1.39628,2.09137,1.2655,0.000510155,0.000510155,0.000510155
19,564.385,1.14456,1.71783,1.26761,0.47746,0.44056,0.42011,0.29391,1.3794,1.91726,1.27469,0.000494928,0.000494928,0.000494928
20,592.299,1.1294,1.69474,1.254,0.4762,0.41636,0.42757,0.28915,1.3739,1.90225,1.26355,0.000479702,0.000479702,0.000479702
21,619.654,1.13546,1.67238,1.24765,0.50638,0.39982,0.42297,0.28788,1.35544,1.90396,1.25935,0.000464476,0.000464476,0.000464476
