epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.283,1.29289,2.30561,1.49355,0.32313,0.22496,0.21954,0.11877,1.76444,2.52856,2.02149,0.000255653,0.000255653,0.000255653
2,241.83,1.38192,2.18232,1.57121,0.21821,0.26882,0.18689,0.09777,1.82408,2.54834,1.99016,0.000501849,0.000501849,0.000501849
3,349.548,1.36954,2.2071,1.56885,0.34172,0.27435,0.20459,0.11,1.7116,2.51893,1.88849,0.000737895,0.000737895,0.000737895
4,421.575,1.33413,2.07825,1.54439,0.3699,0.31869,0.273,0.14953,1.6989,2.38008,1.86317,0.000723321,0.000723321,0.000723321
5,493.916,1.29714,1.98981,1.5175,0.41794,0.35037,0.32894,0.21543,1.5759,2.21637,1.73432,0.000708095,0.000708095,0.000708095
6,565.803,1.25024,1.90263,1.48309,0.46808,0.36941,0.35974,0.22046,1.55604,2.05066,1.71724,0.000692869,0.000692869,0.000692869
7,638.003,1.20876,1.81268,1.46062,0.45272,0.35482,0.37625,0.25029,1.49558,2.0376,1.64518,0.000677643,0.000677643,0.000677643
8,709.753,1.18872,1.74455,1.44672,0.42761,0.43376,0.40911,0.26075,1.54753,1.91327,1.70565,0.000662417,0.000662417,0.000662417
9,780.101,1.15024,1.67339,1.4189,0.50217,0.41818,0.43097,0.2895,1.38584,1.85717,1.60632,0.00064719,0.00064719,0.00064719
10,850.897,1.12666,1.59095,1.39819,0.45004,0.43928,0.40756,0.27909,1.415,2.09793,1.60806,0.000631964,0.000631964,0.000631964
11,921.019,1.1059,1.54384,1.38429,0.54932,0.36823,0.40528,0.27587,1.45157,2.00479,1.67227,0.000616738,0.000616738,0.000616738
12,993.364,1.0845,1.49698,1.36788,0.50998,0.45817,0.45138,0.30741,1.43842,1.76819,1.62767,0.000601512,0.000601512,0.000601512
13,1064.29,1.07787,1.45016,1.36048,0.51711,0.42108,0.44911,0.31313,1.36612,1.81277,1.60016,0.000586286,0.000586286,0.000586286
14,1135.05,1.04846,1.3951,1.34531,0.50426,0.4436,0.43476,0.29026,1.32903,1.73808,1.582,0.000571059,0.000571059,0.000571059
