epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.9798,1.33335,3.28424,1.40729,0.24063,0.24381,0.18198,0.11653,1.48031,2.66988,1.38454,0.000255653,0.000255653,0.000255653
2,91.5412,1.35346,2.35254,1.41321,0.2861,0.3466,0.19293,0.11871,1.54803,2.73916,1.43144,0.000501849,0.000501849,0.000501849
3,135.857,1.326,2.23077,1.3821,0.48936,0.31722,0.285,0.17235,1.59207,2.38919,1.42779,0.000737895,0.000737895,0.000737895
4,261.753,1.30549,2.13072,1.3563,0.36959,0.37705,0.33284,0.20969,1.61636,2.308,1.4058,0.000723321,0.000723321,0.000723321
5,326.139,1.28816,2.05414,1.34265,0.43252,0.32164,0.31372,0.19279,1.54044,2.13765,1.36676,0.000708095,0.000708095,0.000708095
6,377.656,1.24945,1.9756,1.32166,0.43188,0.37758,0.34646,0.20599,1.5307,2.27471,1.35466,0.000692869,0.000692869,0.000692869
7,481.34,1.22541,1.91169,1.30338,0.53089,0.39842,0.40546,0.26745,1.4409,2.0262,1.29437,0.000677643,0.000677643,0.000677643
8,562.457,1.21309,1.87193,1.30382,0.36723,0.39578,0.35199,0.22229,1.51136,2.04804,1.33764,0.000662417,0.000662417,0.000662417
9,606.208,1.18236,1.81219,1.28539,0.49806,0.41138,0.39856,0.25139,1.48163,2.10264,1.32057,0.00064719,0.00064719,0.00064719
10,648.985,1.16087,1.76631,1.27313,0.53241,0.38348,0.38477,0.2576,1.39509,2.16841,1.29156,0.000631964,0.000631964,0.000631964
11,691.083,1.14754,1.71239,1.26757,0.4136,0.41651,0.39161,0.26966,1.40643,1.92868,1.28442,0.000616738,0.000616738,0.000616738
12,732.994,1.14204,1.67456,1.25895,0.50303,0.40738,0.42923,0.2835,1.43532,1.8746,1.29089,0.000601512,0.000601512,0.000601512
13,775.017,1.13747,1.65953,1.25917,0.53622,0.40071,0.4261,0.29523,1.42175,2.05669,1.2922,0.000586286,0.000586286,0.000586286
14,816.934,1.1189,1.61456,1.24743,0.50874,0.4398,0.4482,0.29944,1.42186,1.89337,1.30814,0.000571059,0.000571059,0.000571059
15,860.412,1.11177,1.58229,1.24346,0.49657,0.43473,0.43596,0.30723,1.38235,1.99232,1.27135,0.000555833,0.000555833,0.000555833
16,901.803,1.10237,1.54744,1.23662,0.54902,0.44396,0.45638,0.30189,1.37683,1.84289,1.26595,0.000540607,0.000540607,0.000540607
17,943.87,1.08281,1.50617,1.22855,0.58371,0.44395,0.46487,0.31699,1.3842,1.83698,1.28022,0.000525381,0.000525381,0.000525381
18,984.128,1.07987,1.48473,1.22491,0.53449,0.46385,0.45616,0.31977,1.36514,1.85455,1.24912,0.000510155,0.000510155,0.000510155
19,1024.33,1.07916,1.46909,1.22428,0.5224,0.4388,0.4446,0.31436,1.36755,1.85901,1.26699,0.000494928,0.000494928,0.000494928
20,1065.15,1.06131,1.43907,1.21481,0.52441,0.45874,0.46482,0.32164,1.36247,1.81008,1.26984,0.000479702,0.000479702,0.000479702
21,1108.05,1.06582,1.41402,1.21512,0.49671,0.46232,0.46683,0.33169,1.32709,1.80441,1.24092,0.000464476,0.000464476,0.000464476
22,1147.87,1.04501,1.37385,1.20569,0.56064,0.45128,0.46979,0.32948,1.3289,1.79391,1.24169,0.00044925,0.00044925,0.00044925
23,1188.04,1.03591,1.35198,1.19937,0.47327,0.48784,0.46999,0.32726,1.32725,1.77145,1.24404,0.000434024,0.000434024,0.000434024
24,1228.57,1.02646,1.33424,1.19255,0.54556,0.46457,0.48139,0.34551,1.32932,1.73646,1.25286,0.000418797,0.000418797,0.000418797
25,1269.88,1.02262,1.32031,1.19318,0.56592,0.47594,0.49285,0.34669,1.33373,1.7326,1.24124,0.000403571,0.000403571,0.000403571
26,1312.32,1.02183,1.29668,1.19323,0.56516,0.45288,0.49249,0.34935,1.34231,1.71314,1.24364,0.000388345,0.000388345,0.000388345
27,1355.89,1.00174,1.27891,1.18484,0.49737,0.51898,0.5044,0.35724,1.32165,1.70229,1.23993,0.000373119,0.000373119,0.000373119
28,1397.72,0.99613,1.23186,1.17664,0.53616,0.50088,0.50789,0.35391,1.35716,1.71871,1.25935,0.000357893,0.000357893,0.000357893
29,1440.02,0.99164,1.22318,1.17789,0.59187,0.46709,0.50115,0.35103,1.32945,1.72811,1.25083,0.000342666,0.000342666,0.000342666
30,1481.86,0.98472,1.20289,1.16987,0.54925,0.48017,0.50924,0.3525,1.30988,1.68072,1.23632,0.00032744,0.00032744,0.00032744
31,1523.68,0.98438,1.19692,1.1687,0.56554,0.47718,0.49174,0.34738,1.34962,1.73049,1.2492,0.000312214,0.000312214,0.000312214
32,1567.01,0.97617,1.17201,1.16585,0.60109,0.46165,0.50102,0.35529,1.32433,1.66947,1.24784,0.000296988,0.000296988,0.000296988
33,1609.34,0.97153,1.16618,1.16352,0.55268,0.51588,0.51908,0.37298,1.30955,1.6391,1.23315,0.000281762,0.000281762,0.000281762
34,1650.45,0.9505,1.13125,1.15255,0.59709,0.42755,0.48746,0.35085,1.31349,1.74681,1.23299,0.000266535,0.000266535,0.000266535
